Member Name,Activity Date,Activity,Points
Smith John,01/08/2024,Monthly Meeting,1
Jones Mary,01/08/2024,Monthly Meeting,1
Brown Bob,01/08/2024,Monthly Meeting,1
Wilson Tom,01/08/2024,Monthly Meeting,1
Davis Alice,01/08/2024,Monthly Meeting,1
Lee Sam,01/08/2024,Monthly Meeting,1
Smith John,01/15/2024,CPR Recertification,2
Jones Mary,01/15/2024,CPR Recertification,2
Davis Alice,01/15/2024,CPR Recertification,2
Brown Bob,01/22/2024,Rig Check,1
Wilson Tom,01/22/2024,Rig Check,1
Lee Sam,01/22/2024,Rig Check,1
Smith John,02/05/2024,Monthly Meeting,1
Jones Mary,02/05/2024,Monthly Meeting,1
Brown Bob,02/05/2024,Monthly Meeting,1
Davis Alice,02/05/2024,Monthly Meeting,1
Wilson Tom,02/12/2024,EVOC Training,3
Smith John,02/12/2024,EVOC Training,3
